,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,movies,,
,,,,
,,,,
,,,,
,,,,Comedy
,Kung Fu Panda 3 (2016),,,
,The Boy And The Beast (Bakemono No Ko) (2016),,,
,Captain Underpants: The First Epic Movie (Captain Underpants) (2017),,,
,Sausage Party (2016),,,
,Tokyo Godfathers (2003),,,
,Mary and The Witch's Flower (2018),,,
,My Dog Tulip (2010),,,
,The Pirates! Band of Misfits (2012),,,
,The Princess and the Frog (2009),,,
,Loving Vincent (2017),,,
,Akira (1988),,,
,Tim Burton's Corpse Bride (2005),,,
drama,,,,
,Black Panther (2018),,,
,Lady Bird (2017),,,
,Citizen Kane (1941),,,
,BlacKkKlansman (2018),,,
,Moonlight (2016),,,
,Wonder Woman (2017),,,
,All About Eve (1950),,,
,Metropolis (1927),,,
,A Quiet Place (2018),,,
,Spotlight (2015),,,
,Dunkirk (2017),,,
,Selma (2015),,,
,Casablanca (1942),,,
,La Grande illusion (Grand Illusion) (1938),,,
,The Godfather (1972),,,
,Call Me by Your Name (2018),,,
,Arrival (2016),,,
,Leave No Trace (2018),,,
,Star Wars: The Last Jedi (2017),,,
,Logan (2017),,,
,The Shape of Water (2017),,,
,Boyhood (2014),,,
,The Maltese Falcon (1941),,,
,Gravity (2013),,,
,12 Years a Slave (2013),,,
,Argo (2012),,,
,Repulsion (1965),,,
,Sunset Boulevard (1950),,,
,Thor: Ragnarok (2017),,,
,Rear Window (1954),,,
,The Battle of Algiers (La Battaglia di Algeri) (1967),,,
,Baby Driver (2017),,,
,The Florida Project (2017),,,
,Alien (1979),,,
,La La Land (2016),,,
,Manchester by the Sea (2016),,,
,Bicycle Thieves (Ladri di biciclette) (1949),,,
,M (1931),,,
,Taxi Driver (1976),,,
,Touch of Evil (1958),,,
,Seven Samurai (Shichinin no Samurai) (1956),,,
,Spider-Man: Homecoming (2017),,,
,All Quiet on the Western Front (1930),,,
,Hell or High Water (2016),,,
,War for the Planet of the Apes (2017),,,
,12 Angry Men (Twelve Angry Men) (1957),,,
,The Treasure of the Sierra Madre (1948),,,
,"Three Billboards Outside Ebbing, Missouri (2017)",,,
,The Babadook (2014),,,
,A Streetcar Named Desire (1951),,,
,Vertigo (1958),,,
,The 400 Blows (Les Quatre cents coups) (1959),,,
,Rebecca (1940),,,
,Brooklyn (2015),,,
,The Night of the Hunter (1955),,,
,Lawrence of Arabia (1962),,,
,Army of Shadows (L'Arm̩e des ombres) (1969),,,
,The Dark Knight (2008),,,
,The Death of Stalin (2018),,,
,The Wrestler (2008),,,
,Rash̫mon (1951),,,
,Jaws (1975),,,
,The Wages of Fear (1953),,,
,L.A. Confidential (1997),,,
,Creed (2015),,,
,Open City (1946),,,
,On the Waterfront (1954),,,
,Harry Potter and the Deathly Hallows - Part 2 (2011),,,
,The Grapes of Wrath (1940),,,
,Tokyo Story (T̫ky̫ monogatari) (1953),,,
,The Big Sleep (1946),,,
,Roman Holiday (1953),,,
,The Hurt Locker (2009),,,
,The Last Picture Show (1971),,,
,Cool Hand Luke (1967),,,
,The Leopard (1963),,,
,Star Wars: Episode IV - A New Hope (1977),,,
,Paterson (2016),,,
,Phantom Thread (2018),,,
,Room (2015),,,
,Hidden Figures (2017),,,
,"I, Tonya (2018)",,,
,"The Godfather, Part II (1974)",,,
,Chinatown (1974),,,
,Battleship Potemkin (1925),,,
,The Searchers (1956),,,
,The Post (2018),,,
,Anatomy of a Murder (1959),,,
,Gone With the Wind (1939),,,
,Carol (2015),,,
,Nightcrawler (2014),,,
,Star Trek (2009),,,
,Before Midnight (2013),,,
,The Conformist (1970),,,
,Au Hasard Balthazar (1966),,,
,Things to Come (L'avenir) (2016),,,
,The Red Shoes (1948),,,
,Schindler's List (1993),,,
,La Dolce Vita (1960),,,
,Sweet Smell of Success (1957),,,
horror,,,,
,Get Out (2017),,,
,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),,,
,A Quiet Place (2018),,,
,Psycho (1960),,,
,King Kong (1933),,,
,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",,,
,Repulsion (1965),,,
,The Bride of Frankenstein (1935),,,
,The Babadook (2014),,,
,Rosemary's Baby (1968),,,
,Frankenstein (1931),,,
,Aliens (1986),,,
,It Follows (2015),,,
,Let the Right One In (2008),,,
,Night of the Living Dead (1968),,,
,Hereditary (2018),,,
,Eyes Without a Face (1962),,,
,Freaks (1932),,,
,The Witch (2016),,,
,The Silence of the Lambs (1991),,,
,Pan's Labyrinth (2006),,,
,Evil Dead 2: Dead by Dawn (1987),,,
,The Birds (1963),,,
,Halloween (1978),,,
,Gojira (1956),,,
,Don't Look Now (1973),,,
,The Vanishing (Spoorloos) (1988),,,
,The Innocents (1961),,,
,The Cabin in the Woods (2012),,,
,A Girl Walks Home Alone at Night (2014),,,
,Drag Me to Hell (2009),,,
,It (2017),,,
,Invasion of the Body Snatchers (1978),,,
,The Evil Dead (1981),,,
,The Endless (2018),,,
,Carrie (1976),,,
,Re-Animator (1985),,,
,Young Frankenstein (1974),,,
,The Loved Ones (2012),,,
,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),,,
,The Love Witch (2016),,,
,Room 237 (2013),,,
,Suspiria (1977),,,
,Train to Busan (Busanhaeng) (2016),,,
,A Nightmare on Elm Street (1984),,,
,Shaun of the Dead (2004),,,
,The Host (2007),,,
,Dracula (1931),,,
,The Fly (1986),,,
,Zombieland (2009),,,
,What Ever Happened to Baby Jane? (1962),,,
,CAM (2018),,,
,Eraserhead (1977),,,
,It Comes At Night (2017),,,
,Dawn of the Dead (1979),,,
,Don't Breathe (2016),,,
,Phantom Of The Opera (1925),,,
,We Are Still Here (2015),,,
,The Wicker Man (1973),,,
,Little Shop of Horrors (1986),,,
,The Texas Chainsaw Massacre (1974),,,
,Let Me In (2010),,,
,Frankenweenie (2012),,,
,Upgrade (2018),,,
,Halloween (2018),,,
,The Blair Witch Project (1999),,,
,The Exorcist (1973),,,
,The Conjuring (2013),,,
,The Dead Zone (1983),,,
,Bone Tomahawk (2015),,,
,Misery (1990),,,
,The Shining (1980),,,
,Cronos (1994),,,
,The Orphanage (2007),,,
,28 Days Later (2003),,,
,Gerald's Game (2017),,,
,The Devil's Candy (2017),,,
,An American Werewolf in London (1981),,,
,Near Dark (1987),,,
,Poltergeist (1982),,,
,Henry: Portrait of a Serial Killer (1986),,,
